Sl_No,Company Name,First Name ,Last Name,Job_Title,Email,Phone_Number,City,State,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
,C129,F129,L129,J129,E129,P129,C129,S129,New,Not Interested,,4,,Direct Line,Important,Not Sure
109,C130,F130,L130,J130,E130,P130,C130,S130,Existing,Not Interested,,4,,Direct Line,Not Sure,Not Sure
116,C131,F131,L131,J131,E131,P131,C131,S131,Existing,Wrong POC,,1,,Direct Line,Not Sure,Not Sure
106,C132,F132,L132,J132,E132,P132,C132,S132,Existing,No response,,3,,Reception,Important,Not Sure
110,C133,F133,L133,J133,E133,P133,C133,S133,Existing,No response,,3,,Direct Line,Important,Not Sure
112,C134,F134,L134,J134,E134,P134,C134,S134,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
1360,C135,F135,L135,J135,E135,P135,C135,S135,Existing,No response,,3,,Reception,Not Sure,Not Sure
114,C136,F136,L136,J136,E136,P136,C136,S136,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,C137,F137,L137,J137,E137,P137,C137,S137,New,No response,,3,,Reception,Not Important,Not Sure
115,C138,F138,L138,J138,E138,P138,C138,S138,Existing,,,,, ,,Not Sure
117,C139,F139,L139,J139,E139,P139,C139,S139,Existing,,,,, ,,No
118,C140,F140,L140,J140,E140,P140,C140,S140,Existing,,,,, ,,Not Sure
119,C141,F141,L141,J141,E141,P141,C141,S141,Existing,,,,, ,,Yes
120,C142,F142,L142,J142,E142,P142,C142,S142,Existing,,,,, ,,No
121,C143,F143,L143,J143,E143,P143,C143,S143,Existing,,,,, ,,Not Sure
122,C144,F144,L144,J144,E144,P144,C144,S144,Existing,,,,, ,,No
123,C145,F145,L145,J145,E145,P145,C145,S145,Existing,,,,, ,,No
124,C146,F146,L146,J146,E146,P146,C146,S146,Existing,,,,, ,,Not Sure
102,C147,F147,L147,J147,E147,P147,C147,S147,Existing,No response,,3,,Invalid,Not Sure,Not Sure
125,C148,F148,L148,J148,E148,P148,C148,S148,Existing,No response,,3,,Reception,Not Sure,Not Sure
101,C149,F149,L149,J149,E149,P149,C149,S149,Existing,No response,,3,,Reception,Not Important,Not Sure
103,C150,F150,L150,J150,E150,P150,C150,S150,Existing,Wrong POC,,3,,Reception,Not Sure,Not Sure
,C151,F151,L151,J151,E151,P151,C151,S151,New,No response,,3,,Reception,Not Sure,Not Sure
104,C152,F152,L152,J152,E152,P152,C152,S152,Existing,No response,,3,,Reception,Not Sure,Not Sure
105,C153,F153,L153,J153,E153,P153,C153,S153,Existing,No response,,1,,Direct Line,Important,Not Sure
126,C154,F154,L154,J154,E154,P154,C154,S154,Existing,Wrong POC,VM/Email,1,,Reception,Not Sure,Not Sure
127,C155,F155,L155,J155,E155,P155,C155,S155,Existing,Not Interested,,1,,Direct Line,Not Important,Not Sure
128,C156,F156,L156,J156,E156,P156,C156,S156,Existing,Wrong POC,VM/Email,1,,Reception,Not Sure,Not Sure
129,C157,F157,L157,J157,E157,P157,C157,S157,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
,C158,F158,L158,J158,E158,P158,C158,S158,New,No response,,3,,Reception,Not Sure,Not Sure
130,C159,F159,L159,J159,E159,P159,C159,S159,New,No response,,4,,Direct Line,Not Important,Not Sure
133,C160,F160,L160,J160,E160,P160,C160,S160,Existing,,,,, ,,Not Sure
134,C161,F161,L161,J161,E161,P161,C161,S161,Existing,Not Interested,,1,,Not Sure,Not Sure,Yes
131,C162,F162,L162,J162,E162,P162,C162,S162,Existing,,,1,,Invalid,Not Important,No
,C163,F163,L163,J163,E163,P163,C163,S163,New,Not Interested,,1,,Reception,Not Important,Not Sure
132,C164,F164,L164,J164,E164,P164,C164,S164,Existing,Not Interested,,1,,Reception,Not Important,Not Sure
,C165,F165,L165,J165,E165,P165,C165,S165,,,,,,,,
135,C166,F166,L166,J166,E166,P166,C166,S166,Existing,Not Interested,,4,,Reception,Important,Not Sure
136,C167,F167,L167,J167,E167,P167,C167,S167,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
137,C168,F168,L168,J168,E168,P168,C168,S168,Existing,,,,, ,,Not Sure
138,C169,F169,L169,J169,E169,P169,C169,S169,Existing,,,,, ,,Not Sure
139,C170,F170,L170,J170,E170,P170,C170,S170,Existing,,,,, ,,Not Sure
140,C171,F171,L171,J171,E171,P171,C171,S171,Existing,,,,, ,,Not Sure
141,C172,F172,L172,J172,E172,P172,C172,S172,Existing,,,,, ,,Not Sure
142,C173,F173,L173,J173,E173,P173,C173,S173,Existing,No response,,1,,Reception,Not Sure,Not Sure
143,C174,F174,L174,J174,E174,P174,C174,S174,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
144,C175,F175,L175,J175,E175,P175,C175,S175,Existing,,,,, ,,Not Sure
145,C176,F176,L176,J176,E176,P176,C176,S176,Existing,,,,, ,,Not Sure
,C177,F177,L177,J177,E177,P177,C177,S177,New,No response,,2,,Invalid,Not Important,Not Sure
146,C178,F178,L178,J178,E178,P178,C178,S178,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
147,C179,F179,L179,J179,E179,P179,C179,S179,Existing,Wrong POC,,,,Reception,Not Important,Not Sure
148,C180,F180,L180,J180,E180,P180,C180,S180,Existing,Wrong POC,,,,Reception,Not Important,Not Sure
149,C181,F181,L181,J181,E181,P181,C181,S181,Existing,Wrong POC,,,,Reception,Not Important,Not Sure
,C182,F182,L182,J182,E182,P182,C182,S182,New,No response,,3,,Reception,Not Sure,Not Sure
150,C183,F183,L183,J183,E183,P183,C183,S183,Existing,Wrong POC,,3,,Reception,Not Important,Not Sure
,C184,F184,L184,J184,E184,P184,C184,S184,New,No response,,3,,Reception,Not Sure,Not Sure
153,C185,F185,L185,J185,E185,P185,C185,S185,Existing,No response,,1,,Invalid,Not Sure,Not Sure
154,C186,F186,L186,J186,E186,P186,C186,S186,Existing,No response,,,,Invalid,Not Sure,Not Sure
155,C187,F187,L187,J187,E187,P187,C187,S187,Existing,No response,,,,Invalid,Not Sure,Not Sure
156,C188,F188,L188,J188,E188,P188,C188,S188,Existing,No response,,,,Invalid,Not Sure,Not Sure
157,C189,F189,L189,J189,E189,P189,C189,S189,Existing,No response,,,,Invalid,Not Sure,Not Sure
1225,C190,F190,L190,J190,E190,P190,C190,S190,Existing,,,1,,Invalid,Not Sure,Not Sure
1229,C191,F191,L191,J191,E191,P191,C191,S191,Existing,,,,, ,,Not Sure
,C192,F192,L192,J192,E192,P192,C192,S192,New,No response,,3,,Direct Line,Not Sure,
158,C193,F193,L193,J193,E193,P193,C193,S193,Existing,No response,,1,,Invalid,Not Sure,Not Sure
159,C194,F194,L194,J194,E194,P194,C194,S194,Existing,,,,, ,,Not Sure
160,C195,F195,L195,J195,E195,P195,C195,S195,Existing,,,,, ,,Not Sure
1213,C196,F196,L196,J196,E196,P196,C196,S196,Existing,Not Interested,,1,,Invalid,Not Sure,Not Sure
161,C197,F197,L197,J197,E197,P197,C197,S197,Existing,,,,, ,,Not Sure
162,C198,F198,L198,J198,E198,P198,C198,S198,Existing,,,,, ,,Not Sure
164,C199,F199,L199,J199,E199,P199,C199,S199,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,C200,F200,L200,J200,E200,P200,C200,S200,,No response,,3,,Reception,Not Sure,Not Sure
165,C201,F201,L201,J201,E201,P201,C201,S201,Existing,Not Interested,,1,,Reception,Not Sure,Not Sure
163,C202,F202,L202,J202,E202,P202,C202,S202,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
166,C203,F203,L203,J203,E203,P203,C203,S203,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,C204,F204,L204,J204,E204,P204,C204,S204,New,No response,,3,,Reception,Not Sure,Not Sure
168,C205,F205,L205,J205,E205,P205,C205,S205,Existing,Wrong POC,,3,,Reception,Not Sure,Yes
,C206,F206,L206,J206,E206,P206,C206,S206,New,No response,,3,,Reception,Not Sure,Not Sure
167,C207,F207,L207,J207,E207,P207,C207,S207,Existing,No response,,3,,Reception,Not Sure,Not Sure
170,C208,F208,L208,J208,E208,P208,C208,S208,Existing,Not Interested,,1,,Reception,Important,Not Sure
169,C209,F209,L209,J209,E209,P209,C209,S209,Existing,Wrong POC,VM/Email,1,,Reception,Not Important,Not Sure
1222,C210,F210,L210,J210,E210,P210,C210,S210,Existing,Not Interested,,2,,Direct Line,Not Sure,Not Sure
171,C211,F211,L211,J211,E211,P211,C211,S211,Existing,,,,,,,
172,C212,F212,L212,J212,E212,P212,C212,S212,Existing,No response,,1,,Invalid,Not Sure,Not Sure
1259,C213,F213,L213,J213,E213,P213,C213,S213,Existing,No response,,3,,Reception,Not Sure,Not Sure
1251,C214,F214,L214,J214,E214,P214,C214,S214,Existing,Not Interested,,2,,Direct Line,Important,Not Sure
1307,C215,F215,L215,J215,E215,P215,C215,S215,Existing,Wrong POC,,,, ,,Not Sure
177,C216,F216,L216,J216,E216,P216,C216,S216,Existing,No response,,3,,Reception,Not Sure,Yes
151,C217,F217,L217,J217,E217,P217,C217,S217,Existing,Not Interested,VM/Email,2,,Reception,Not Sure,Not Sure
152,C218,F218,L218,J218,E218,P218,C218,S218,Existing,Not Interested,,1,,Direct Line,Not Sure,Not Sure
173,C219,F219,L219,J219,E219,P219,C219,S219,Existing,,,,, ,,Not Sure
174,C220,F220,L220,J220,E220,P220,C220,S220,Existing,,,,, ,,Not Sure
176,C221,F221,L221,J221,E221,P221,C221,S221,Existing,,,,, ,,Not Sure
175,C222,F222,L222,J222,E222,P222,C222,S222,Existing,No response,,1,,Invalid,Not Sure,Not Sure
178,C223,F223,L223,J223,E223,P223,C223,S223,Existing,,,,, ,,Not Sure
180,C224,F224,L224,J224,E224,P224,C224,S224,Existing,Not Interested,,1,,Direct Line,Important,Not Sure
179,C225,F225,L225,J225,E225,P225,C225,S225,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
181,C226,F226,L226,J226,E226,P226,C226,S226,Existing,No response,,3,,Reception,Not Sure,Not Sure
182,C227,F227,L227,J227,E227,P227,C227,S227,Existing,,,,,,Not Sure,Not Sure
184,C228,F228,L228,J228,E228,P228,C228,S228,Existing,No response,,3,,Reception,Not Sure,Not Sure
183,C229,F229,L229,J229,E229,P229,C229,S229,Existing,,,,,,,
185,C230,F230,L230,J230,E230,P230,C230,S230,Existing,No response,,3,,Reception,Not Sure,Not Sure
186,C231,F231,L231,J231,E231,P231,C231,S231,Existing,No response,,3,,Reception,Not Sure,Not Sure
1262,C232,F232,L232,J232,E232,P232,C232,S232,Existing,,,,, ,,Not Sure
187,C233,F233,L233,J233,E233,P233,C233,S233,Existing,,,,, ,,Not Sure
,C234,F234,L234,J234,E234,P234,C234,S234,New,Wrong POC,,3,,Reception,Not Important,Not Sure
,C235,F235,L235,J235,E235,P235,C235,S235,New,Not Interested,,2,,Direct Line,Important,Not Sure
188,C236,F236,L236,J236,E236,P236,C236,S236,Existing,Not Interested,,1,,Direct Line,Important,Not Sure
189,C237,F237,L237,J237,E237,P237,C237,S237,Existing,Lead,,2,Warm,Direct Line,Important,Not Sure
190,C238,F238,L238,J238,E238,P238,C238,S238,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
,C239,F239,L239,J239,E239,P239,C239,S239,New,No response,,3,,Reception,Important,Not Sure
191,C240,F240,L240,J240,E240,P240,C240,S240,Existing,No response,,3,,Reception,Not Sure,Not Sure
192,C241,F241,L241,J241,E241,P241,C241,S241,Existing,Not Interested,,2,,Reception,Not Sure,Yes
193,C242,F242,L242,J242,E242,P242,C242,S242,Existing,No response,,2,,Reception,Not Sure,Not Sure
194,C243,F243,L243,J243,E243,P243,C243,S243,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
195,C244,F244,L244,J244,E244,P244,C244,S244,Existing,No response,,3,,Reception,Not Sure,Not Sure
196,C245,F245,L245,J245,E245,P245,C245,S245,Existing,Wrong POC,,3,,Reception,Not Sure,Not Sure
1263,C246,F246,L246,J246,E246,P246,C246,S246,Existing,,,,,Invalid,,Not Sure
1267,C247,F247,L247,J247,E247,P247,C247,S247,Existing,Not Interested,,4,,Direct Line,Not Sure,Yes
1258,C248,F248,L248,J248,E248,P248,C248,S248,Existing,No response,,3,,Reception,Not Sure,Not Sure
1303,C249,F249,L249,J249,E249,P249,C249,S249,Existing,,,,, ,,Not Sure
197,C250,F250,L250,J250,E250,P250,C250,S250,Existing,,,,, ,,Not Sure
198,C251,F251,L251,J251,E251,P251,C251,S251,Existing,,,,, ,,Not Sure
,C252,F252,L252,J252,E252,P252,C252,S252,New,No response,,3,,Reception,Important,Yes
215,C253,F253,L253,J253,E253,P253,C253,S253,Existing,No response,,3,,Reception,Not Sure,Not Sure
1233,C254,F254,L254,J254,E254,P254,C254,S254,Existing,No response,,3,,Reception,Not Sure,Not Sure
1309,C255,F255,L255,J255,E255,P255,C255,S255,Existing,,,,, ,,Not Sure
199,C256,F256,L256,J256,E256,P256,C256,S256,Existing,No response,,1,,Reception,Not Sure,Not Sure
,C257,F257,L257,J257,E257,P257,C257,S257,,,,,,,,
1269,C258,F258,L258,J258,E258,P258,C258,S258,Existing,No response,,5,,Reception,Not Sure,Not Sure
1302,C259,F259,L259,J259,E259,P259,C259,S259,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,C260,F260,L260,J260,E260,P260,C260,S260,New,No response,,3,,Reception,Not Important,Not Sure
200,C261,F261,L261,J261,E261,P261,C261,S261,Existing,,,,, ,,Not Sure
216,C262,F262,L262,J262,E262,P262,C262,S262,Existing,,,,, ,,Not Sure
217,C263,F263,L263,J263,E263,P263,C263,S263,Existing,Lead,,4,Warm,Reception,Not Sure,Not Sure
218,C264,F264,L264,J264,E264,P264,C264,S264,Existing,,,,, ,,Not Sure
